평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,241019,부천대학교 도서관,경기,부천시,319157,2,631,12097,210178508
2022,LIBTYPE000003,211027,삼육대학교 학술정보원,서울,노원구,510816,4,1309,14332,550000000
2022,LIBTYPE000003,211026,삼육보건대학교 도서관,서울,동대문구,67916,1,362,3140,54563318
2022,LIBTYPE000003,211028,상명대학교 서울캠퍼스 학술정보관,서울,종로구,571970,5,1499,56618,637053933
2022,LIBTYPE000003,244007,상명대학교 천안캠퍼스 학술정보관,충남,천안시,622111,2,1259,25695,369954960
2022,LIBTYPE000003,242007,상지대학교 학술정보원,강원,원주시,725285,5,836,8505,370401587
2022,LIBTYPE000003,211029,서강대학교 로욜라도서관,서울,마포구,1315444,18,5094,86715,2847053355
2022,LIBTYPE000003,211015,서경대학교 학술정보관,서울,성북구,646567,2,1670,8219,292990380
2022,LIBTYPE000003,247005,서라벌대학교 학술정보원,경북,경주시,125741,0,75,618,10287380
2022,LIBTYPE000003,224008,서영대학교 도서관,광주,북구,117922,3,329,5030,101289652
2022,LIBTYPE000003,211034,서울과학기술대학교 도서관,서울,노원구,802328,8,5222,57444,1970085220
2022,LIBTYPE000003,L00006,서울과학종합대학원대학교 도서관,서울,서대문구,2960,0,1,2,52116409
2022,LIBTYPE000003,211031,서울교육대학교 도서관,서울,서초구,318972,4,1371,22431,344876953
2022,LIBTYPE000003,211018,서울기독대학교 학술정보관,서울,은평구,56365,1,82,1387,17627793
2022,LIBTYPE000003,211032,서울대학교 중앙도서관,서울,관악구,5167016,74,26560,295947,12045154829
2022,LIBTYPE000003,211104,서울디지털대학교 디지털도서관,서울,강서구,74234,0,1881,15640,34500000
2022,LIBTYPE000003,L0035,서울미디어대학원대학교 도서관,서울,강서구,6390,0,8,37,10120000
2022,LIBTYPE000003,211105,서울벤처대학원대학교 학술정보관,서울,강남구,3534,0,0,0,0
2022,LIBTYPE000003,211096,서울불교대학원대학교 도서관,서울,금천구,10480,0,51,379,15633146
2022,LIBTYPE000003,211100,서울사이버대학교 전자도서관,서울,강북구,58908,0,1460,3151,21325000
2022,LIBTYPE000003,L00009,서울사회복지대학원대학교 도서관,서울,영등포구,6106,0,13,73,509000
2022,LIBTYPE000003,211113,서울상담심리대학원대학교 도서관,서울,종로구,9205,0,98,585,31660584
2022,LIBTYPE000003,211082,서울성경신학대학원대학교 도서관,서울,동작구,24746,0,66,330,13644521
